店铺名称,店铺年份,店铺评分,店铺评论数量,主营产品,月产能,最小起订量,交货周期,所在地区,认证情况,价格等级,质量等级,合作年限,退货率,准时交货率
广州时尚服饰有限公司,15年,4.3,"5,842",女装,22077件,333件,26天,广东,OEKO-TEX,高价,精品,8年,4.3%,92.3%
深圳优质纺织厂,24年,4.8,"30,214",男装,21795件,379件,24天,广东,BSCI,高价,精品,4年,5.0%,86.4%
东莞精品制衣厂,20年,4.9,"43,430",童装,16989件,393件,26天,广东,ISO9001,高价,精品,3年,4.6%,86.2%
佛山国际贸易公司,25年,4.5,"42,252",女装,11127件,53件,24天,广东,BSCI,高价,优质,2年,4.3%,90.3%
中山服装制造商,8年,4.1,"31,244",男装,39640件,197件,22天,广东,BSCI,低价,标准,1年,3.2%,96.5%
珠海时装设计工厂,4年,4.9,"34,622",女装,8326件,258件,10天,广东,ISO9001,低价,标准,7年,4.9%,92.8%
惠州纺织品公司,24年,4.8,"24,701",家居用品,32359件,452件,27天,广东,ISO9001,低价,优质,9年,3.9%,93.5%
江门服饰出口商,16年,4.5,"37,805",童装,28242件,228件,12天,广东,OEKO-TEX,高价,标准,1年,1.2%,96.7%
汕头制衣集团,16年,4.6,"3,539",女装,14376件,120件,27天,广东,OEKO-TEX,高价,标准,10年,3.9%,98.0%
潮州服装工厂,16年,4.4,"12,159",男装,38728件,60件,25天,广东,ISO9001,低价,优质,5年,0.8%,87.2%
杭州丝绸企业,9年,4.7,"45,293",女装,5683件,386件,21天,浙江,WRAP,高价,优质,8年,1.5%,98.5%
义乌小商品公司,4年,4.7,"11,962",电子产品,9541件,405件,7天,浙江,WRAP,中价,精品,4年,0.6%,93.3%
宁波纺织集团,11年,4.6,"2,313",家居用品,30257件,193件,23天,浙江,无认证,低价,优质,2年,4.4%,98.7%
温州制鞋厂,23年,4.8,"23,604",童装,28474件,289件,11天,浙江,ISO9001,中价,精品,2年,4.1%,93.2%
苏州丝绸工厂,6年,4.3,"32,204",女装,15629件,425件,15天,江苏,BSCI,中价,标准,3年,0.7%,93.0%
南通家纺公司,14年,4.5,"1,173",家居用品,41300件,63件,28天,江苏,ISO9001,中价,标准,8年,4.3%,94.3%
常州电子厂,21年,4.5,"9,184",电子产品,9339件,59件,20天,江苏,无认证,中价,优质,4年,2.3%,88.8%
泉州制衣企业,23年,4.5,"17,920",男装,5180件,443件,18天,福建,BSCI,低价,优质,10年,2.8%,98.4%
厦门贸易公司,23年,5.0,"4,544",美妆用品,9855件,484件,25天,福建,ISO9001,低价,优质,7年,2.2%,86.5%
青岛纺织厂,5年,4.5,"32,744",家居用品,29903件,436件,12天,山东,BSCI,高价,优质,4年,4.9%,91.0%
